rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,count_eta1,count_eta2,count_eta3,count_eta4,count_eta5,count_eta6,link
3.515,1.0,1280000000.0,124000000.0,578000000.0,2820.512041,Sphere_2.5_1.0_20250606-105231,Carbonium,2.5,0.5,0.4,12823.342868880141,3.6217875,3.6824534,3.9360073,3.963261,4.4787934,4.9992363,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.5_20250606-105231.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2276.933261,Sphere_2.5_1.0_20250606-104020,Siliconium,2.5,0.6,0.4,5846.174706140654,3.9544448,4.0237032,4.3117057,4.3298576,5.4297503,6.2047726,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.6_20250606-104020.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2792.635662,Sphere_2.5_1.0_20250606-105132,Germanium,2.5,0.6,0.4,3550.4469426244787,3.9543592,4.0232431,4.3071913,4.3264671,5.3772412,6.2027531,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.6_20250606-105132.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2820.512041,Sphere_2.5_1.0_20250606-105231,Carbonium,2.5,0.6,0.4,12823.342868880141,3.9538272,4.0203617,4.2652281,4.2941807,4.8900058,5.402031,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.6_20250606-105231.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2276.933261,Sphere_2.5_1.0_20250606-104020,Siliconium,2.5,0.7,0.4,5846.174706140654,4.2607236,4.3355961,4.6182592,4.6375007,5.8511378,6.6972947,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.7_20250606-104020.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2792.635662,Sphere_2.5_1.0_20250606-105132,Germanium,2.5,0.7,0.4,3550.4469426244787,4.2606313,4.335099,4.6135627,4.6339849,5.7945163,6.6951133,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.7_20250606-105132.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2820.512041,Sphere_2.5_1.0_20250606-105231,Carbonium,2.5,0.7,0.4,12823.342868880141,4.2600585,4.331986,4.5700522,4.6006263,5.2692135,5.7764695,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.7_20250606-105231.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2276.933261,Sphere_2.5_1.0_20250606-104020,Siliconium,2.5,0.8,0.4,5846.174706140654,4.546412,4.6265072,4.9052985,4.9255746,6.2441428,7.1559976,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.8_20250606-104020.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2792.635662,Sphere_2.5_1.0_20250606-105132,Germanium,2.5,0.8,0.4,3550.4469426244787,4.5463136,4.6259756,4.9004195,4.9219312,6.1836885,7.1536655,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.8_20250606-105132.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2820.512041,Sphere_2.5_1.0_20250606-105231,Carbonium,2.5,0.8,0.4,12823.342868880141,4.5457026,4.622647,4.8553349,4.8874592,5.6228993,6.1278706,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.8_20250606-105231.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2276.933261,Sphere_2.5_1.0_20250606-104020,Siliconium,2.5,0.9,0.4,5846.174706140654,4.8151776,4.9001758,5.1761939,5.1974568,6.61383,7.5870179,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.9_20250606-104020.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2792.635662,Sphere_2.5_1.0_20250606-105132,Germanium,2.5,0.9,0.4,3550.4469426244787,4.8150734,4.8996119,5.1711346,5.193686,6.5497719,7.5845444,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.9_20250606-105132.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2820.512041,Sphere_2.5_1.0_20250606-105231,Carbonium,2.5,0.9,0.4,12823.342868880141,4.8144265,4.8960808,5.1244787,5.1580887,5.9556138,6.4600579,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_0.9_20250606-105231.json&mode=6&magnif=6
2.329,1.0,223100000.0,63900000.0,79600000.0,2276.933261,Sphere_2.5_1.0_20250606-104020,Siliconium,2.5,1.0,0.4,5846.174706140654,5.0697132,5.159347,5.4334318,5.4556391,6.9639155,7.9948344,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_1.0_20250606-104020.json&mode=6&magnif=6
5.323,1.0,182500000.0,48300000.0,67100000.0,2792.635662,Sphere_2.5_1.0_20250606-105132,Germanium,2.5,1.0,0.4,3550.4469426244787,5.0696036,5.1587525,5.4281952,5.4517423,6.896446,7.992227,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_1.0_20250606-105132.json&mode=6&magnif=6
3.515,1.0,1280000000.0,124000000.0,578000000.0,2820.512041,Sphere_2.5_1.0_20250606-105231,Carbonium,2.5,1.0,0.4,12823.342868880141,5.0689225,5.1550299,5.3799859,5.4150234,6.2706971,6.7758941,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_1.0_1.0_20250606-105231.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.0,0.8,5846.174706140654,0.0345021,0.0345104,0.0349117,0.035411,0.0360748,-,2,3,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.0_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.0,0.8,3550.4469426244787,0.0343277,0.0343343,0.0347238,0.0352153,0.0358817,-,2,3,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.0_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.0,0.8,12823.342868880141,0.0330996,0.0331062,0.0333874,0.03378,0.0343489,-,3,2,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.0_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.1,0.8,5846.174706140654,1.6198971,1.6481388,1.8249586,1.8333667,2.2235167,2.5335215,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.1_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.1,0.8,3550.4469426244787,1.6198618,1.6479508,1.822698,1.8316448,2.2020488,2.5326969,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.1_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.1,0.8,12823.342868880141,1.619643,1.6467733,1.8014101,1.8150038,2.0027751,2.3130088,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.1_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.2,0.8,5846.174706140654,2.277788,2.3178069,2.500889,2.5117046,3.127822,3.5787531,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.2_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.2,0.8,3550.4469426244787,2.2777386,2.3175411,2.4981792,2.5096661,3.0975649,3.577587,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.2_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.2,0.8,12823.342868880141,2.2774319,2.3158761,2.4729539,2.4902192,2.8168376,3.1411664,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.2_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.3,0.8,5846.174706140654,2.7843381,2.8333845,3.0277132,3.0405109,3.8239263,4.3813483,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.3_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.3,0.8,3550.4469426244787,2.7842778,2.8330589,3.0245853,3.0381683,3.7869116,4.3799201,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.3_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.3,0.8,12823.342868880141,2.7839032,2.8310199,2.9955963,3.0159298,3.4435417,3.7915152,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.3_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.4,0.8,5846.174706140654,3.2119699,3.2686235,3.4751566,3.4896735,4.4115223,5.0581569,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.4_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.4,0.8,3550.4469426244787,3.2119004,3.2682476,3.4716531,3.4870555,4.3688061,5.0565078,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.4_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.4,0.8,12823.342868880141,3.2114685,3.2658931,3.4392585,3.462267,3.9725771,4.3453606,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.4_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.5,0.8,5846.174706140654,3.5890054,3.6523594,3.871071,3.8871259,4.9295674,5.6545282,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.5_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.5,0.8,3550.4469426244787,3.5889278,3.651939,3.867226,3.8842567,4.8818259,5.6526844,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.5_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.5,0.8,12823.342868880141,3.5884454,3.6493067,3.8317235,3.8571318,4.4390035,4.8361026,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.5_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.6,0.8,5846.174706140654,3.9300341,3.9994445,4.2300201,4.2474791,5.3981234,6.1937409,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.6_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.6,0.8,3550.4469426244787,3.929949,3.998984,4.2258603,4.2443778,5.3458373,6.1917212,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.6_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.6,0.8,12823.342868880141,3.9294209,3.9961005,4.1874884,4.2150907,4.8608778,5.281401,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.6_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.7,0.8,5846.174706140654,4.2437453,4.3187248,4.5607682,4.5795268,5.8291366,6.6896311,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.7_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.7,0.8,3550.4469426244787,4.2436535,4.3182274,4.5563151,4.5762092,5.7726707,6.6874496,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.7_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.7,0.8,12823.342868880141,4.2430833,4.3151128,4.5152672,4.5449028,5.2489534,5.6919473,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.7_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.8,0.8,5846.174706140654,4.5358109,4.6159733,4.8690787,4.889053,6.2304037,7.1512168,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.8_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.8,0.8,3550.4469426244787,4.5357128,4.6154416,4.8643503,4.8855319,6.1700466,7.1488847,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.8_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.8,0.8,12823.342868880141,4.5351034,4.612112,4.8207865,4.8523253,5.6102486,6.0747988,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.8_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,0.9,0.8,5846.174706140654,4.8101753,4.8952054,5.1589829,5.1801032,6.6073463,7.5847637,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.9_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,0.9,0.8,3550.4469426244787,4.8100713,4.8946414,5.153994,5.1763896,6.5433341,7.58229,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.9_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,0.9,0.8,12823.342868880141,4.8094251,4.8911099,5.1080496,5.1413835,5.9496442,6.4349045,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_0.9_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2996.186228,Sphere_2.5_2.0_20250606-112231,Siliconium,2.5,1.0,0.8,5846.174706140654,5.0697132,5.159347,5.4334318,5.4556391,6.9639155,7.9948344,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_1.0_20250606-112231.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2660.270216,Sphere_2.5_2.0_20250606-114318,Germanium,2.5,1.0,0.8,3550.4469426244787,5.0696036,5.1587525,5.4281952,5.4517423,6.896446,7.992227,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_1.0_20250606-114318.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2646.231486,Sphere_2.5_2.0_20250606-114359,Carbonium,2.5,1.0,0.8,12823.342868880141,5.0689225,5.1550299,5.3799859,5.4150234,6.2706971,6.7758941,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_2.5_2.0_1.0_20250606-114359.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2284.11482,Sphere_5.0_2.0_20250606-104020,Siliconium,5.0,0.0,0.4,5846.174706140654,0.1377005,0.1377292,0.1393125,0.1412887,0.1439071,-,2,3,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_5.0_2.0_0.0_20250606-104020.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2812.43709,Sphere_5.0_2.0_20250606-105132,Germanium,5.0,0.0,0.4,3550.4469426244787,0.1370051,0.1370266,0.138563,0.1405085,0.1431365,-,2,3,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_5.0_2.0_0.0_20250606-105132.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2839.036474,Sphere_5.0_2.0_20250606-105232,Carbonium,5.0,0.0,0.4,12823.342868880141,0.1320988,0.1321303,0.1332301,0.1347834,0.1370196,-,3,2,3,3,3,-,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_5.0_2.0_0.0_20250606-105232.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2284.11482,Sphere_5.0_2.0_20250606-104020,Siliconium,5.0,0.1,0.4,5846.174706140654,1.7472361,1.7749394,2.1223996,2.1337418,2.3874671,2.5933558,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_5.0_2.0_0.1_20250606-104020.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2812.43709,Sphere_5.0_2.0_20250606-105132,Germanium,5.0,0.1,0.4,3550.4469426244787,1.7471973,1.7747522,2.1177461,2.129957,2.3649203,2.5925321,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_5.0_2.0_0.1_20250606-105132.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2839.036474,Sphere_5.0_2.0_20250606-105232,Carbonium,5.0,0.1,0.4,12823.342868880141,1.7469562,1.773576,2.0719754,2.0915906,2.1544421,2.5873883,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_5.0_2.0_0.1_20250606-105232.json&mode=6&magnif=6
2.329,2.0,223100000.0,63900000.0,79600000.0,2284.11482,Sphere_5.0_2.0_20250606-104020,Siliconium,5.0,0.2,0.4,5846.174706140654,2.3604478,2.4000216,2.7376376,2.7506797,3.234652,3.6167218,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_5.0_2.0_0.2_20250606-104020.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,2812.43709,Sphere_5.0_2.0_20250606-105132,Germanium,5.0,0.2,0.4,3550.4469426244787,2.3603963,2.3997568,2.7335394,2.7474796,3.2036616,3.6155563,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_5.0_2.0_0.2_20250606-105132.json&mode=6&magnif=6
3.515,2.0,1280000000.0,124000000.0,578000000.0,2839.036474,Sphere_5.0_2.0_20250606-105232,Carbonium,5.0,0.2,0.4,12823.342868880141,2.360076,2.3980964,2.6940918,2.7158188,2.9154018,3.5133985,2,3,2,3,3,1,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas_new_run\Sphere_5.0_2.0_0.2_20250606-105232.json&mode=6&magnif=6
